nome,aceite,genero,notas
Ciranda,Não,,
Circe,Sim,F,
Cireneu,Sim,,"só no conjunto ""SIMÃO CIRENEU"""
Círia,Sim,F,
Ciril,Não,,
Cirila,Sim,F,
Cirilo,Sim,,
Ciro,Sim,,
Cirolina,Não,,
Ciros,Não,,
Cirus,Não,,
Cisaltina,Não,,
Cisandro,Não,,
Cisela,Não,,
Cisério,Não,,
Cisina,Não,,
Cizandra,Não,,
Cizandro,Não,,
Cizina,Sim,,
Clara de Fátima,Sim,,
Clarence,Não,,
Claret,Não,,
Clarina,Sim,,
Clarinda,Sim,,
Clarindo,Sim,,
Clarinha,Sim,F,revoga anterior despacho
Clarissa,Não,,
Clarisse,Sim,,
Clarisseau,Não,,
Clarivaldo,Não,,
Claude,Não,,
Claudelina,Não,,
Claudemira,Sim,,
Claudemiro,Sim,M,
Claudete,Não,,
Cláudia,Sim,,
Claudiana,Sim,F,
Claudides,Não,,
Cláudio,Sim,M,
Claudisabel,Não,,
Cláusio,Não,,
Clea,Não,,
Cleia,Sim,,
Cleide,Sim,F,
Clélia,Sim,F,
Clemência,Sim,,
Cleo,Não,,
Cleodice,Sim,,
Cleonice,Sim,F,
Cleópatra,Sim,F,
Clésia,Sim,,
Clésio,Sim,,
Cleudisse,Não,,
Cleusa,Não,,
Cleyse,Não,,
Clícia,Sim,,
Clídio,Sim,M,
Clife,Sim,,
Climénia,Sim,,
Clívia,Sim,,
Clober,Não,,
Cloe,Sim,F,
Cloé,Sim,F,
Clorinda,Sim,,
Clóvis,Sim,,
Coimbra,Não,,
Colete,Sim,,
Colino,Não,,
Coltrane,Não,,
Conceição,Sim,F,
Conceição Maria,Sim,,
Concha,Sim,F,
Conchita,Não,,
Consolação,Sim,F,
Consolação Maria,Não,,
Consolino,Não,,
Constança,Sim,F,
Constância,Sim,F,
Constâncio,Sim,M,
Constantino,Sim,M,
Consulino,Sim,,
Conte,Não,,
Cora,Sim,F,
Coral,Não,,
Corália,Sim,,
Cordália,Não,,
Cordélia,Sim,F,
Corina,Sim,,
Corine,Não,,
Córita,Sim,,
Corsino,Sim,M,
Cortês,Não,,
Cosete,Sim,F,
Cosette,Não,,
Cosme,Sim,M,
Cremilda,Sim,,
Cremilde,Sim,F,
Creolando,Não,,
Crestila,Sim,F,
Crestita,Não,,
Criçália,Não,,
Crimilde,Não,,
Cris,Sim,,como segundo elemento do nome
Crisália,Sim,,
Crisálida,Sim,F,
Crisanta,Sim,F,
Crisante,Sim,F,
Crisna,Sim,,como segundo elemento do nome
Crispim,Sim,M,
Cristal,Não,,
Cristalinda,Não,,
Cristela,Sim,,
Cristele,Sim,,
Cristene,Sim,F,
Cristia,Não,,
Cristian,Não,,
Cristiana,Sim,,
Cristiane,Não,,
Cristiani,Não,,
Cristiano,Sim,M,
Cristião,Não,,
Cristina Astride,Sim,,
Cristo,Não,,
Cristofe,Sim,,
Cristofer,Não,,
Cristóforo,Sim,M,
Cristolinda,Sim,,
Cristóvão,Sim,,
Cruz,Sim,,"como segundo elemento do nome, precedido da 
partícula ""da"""
Curri,Não,,
Curry,Não,,
Cursino,Sim,M,
D' Água,Não,,
Dacilde,Não,,
Dácio,Sim,M,
Dádiva,Não,,
Dafne,Sim,,
Dagmar,Sim,,
Dagoberto Tito,Sim,,
Daiana,Não,,
Daiane,Não,,
Daiene,Não,,
Daina,Sim,F,
Daira,Não,,
Daisi,Sim,F,
Daisy,Não,,
Dáli,Não,,
Dália,Sim,,
Daliana,Sim,F,
Dalida,Sim,,
Dalide,Não,,
Dalila,Sim,,
Dalinda,Sim,F,
