M;     Damanpreet
F;    Catalyna            
M;        Damian
F;    Catarina            
M;        Damião
F;    Caterina            
M;        Damien
F;   Cathaleya            
M;         Damir
F;    Catharina           
M;        Damon
F;   Catherine            
M;          Dan
F;   Cathrionna           
M;          Dani
F;       Catia            
M;         Danial
F;       Cátia            
M;        Danico
F;       Catila           
M;         Daniel
F;    Catiliana           
M;      Danielson
F;     Catrina            
M;         Daniil
F;     Cattleya           
M;         Danil
F;     Catyleia           
M;         Danilo
F;    Catyliana           
M;       Danilson
F;     Cauaren            
M;        Daniyal
F;      Cayari            
M;         Danny
F;    Cayetana            
M;       Dannyel
F;     Caylainy           
M;         Dante
F;      Cécile            
M;         Dany
F;      Cecilia           
M;        Danylo
F;      Cecília           
M;        Daoud
F;      Cecylia           
M;         Dárcio
F;     Celeste            
M;         Dargy
F;       Célia            
M;        Darian
F;      Celina            
M;         Dariel
F;      Celine            
M;         Dario
F;      Céline            
M;         Dário
F;      Cellen            
M;         Dariu
F;     Celmira            
M;         Darius
F;     Celtiane           
M;   Darius-Alexandru
F;     Cerasela             
M;       Darque
F;      Cereja              
M;        Darsh
F;    Cesaltina             
M;      Darsheel
F;        Céu               
M;       Daryan
F;     Chanda               
M;        Daryo
F;      Chanel              
M;         Dave
F;     Chanell              
M;         Davi
F;     Chantal              
M;         Daví
F;     Chantel              
M;         Dávi
F;     Chantell             
M;        David
F;    Charlene              
M;   David-Alexandru
F;      Charlie             
M;       Davide
F;     Charlize             
M;        Davids
F;    Charlotte             
M;      Davidson
F;      Cheila              
M;        Davih
F;      Cheilly             
M;       Davron
F;     Chelsea              
M;         Davy
F;      Chelsy              
M;       Dawani
F;       Chen               
M;        Dawid
F;      Cheng               
M;       Dawith
F;      Cheok               
M;      Dawood
F;     Cheslsy              
M;       Dawoud
F;     Chevelle             
M;         Daxs
F;        Chi               
M;        Dayan
F;      Chiara              
M;        Dayel
F;   Chimalavera            
M;       Daylan
F;       Chin               
M;       Daylon
F;     Chisom               
M;      Daymien
F;      Chloe               
M;     Daymonds
F;      Chloé               
M;       Dayvan
F;      Chloë               
M;        Dean
F;      Chlöe               
M;       Declan
F;    Chreshta              
M;        Deep
F;   Chrisângella           
M;        Deive
F;      Christa             
M;        Deivid
F;    Christiane            
M;      Deiwilson
F;   Christianna            
M;        Delcio
F;   Christianne            
M;        Délcio
F;    Christiany            
M;        Delfim
F;    Christina             
M;        Délio
F;    Christine             
M;       Delmar
F;       Ciana              
M;        Delme
F;       Ciara              
M;       Delmiro
F;       Ciàra              
M;       Delvino
F;      Cibele              
M;       Dembo
F;      Cibelle             
M;       Dembó
F;      Cidália             
M;      Demetre
F;       Ciline             
M;        Denil
F;       Ciliza             
M;      Denilson
F;      Cinara             
M;    Denílson
F;      Cínara             
M;    Denilton
F;       Cindy             
M;      Denis
F;      Cinthia            
M;      Dénis
F;     Cinthya             
M;      Dênis
F;       Cíntia            
M;     Denish
F;       Cintra            
M;      Dénix
F;      Cintya             
M;     Dennis
F;       Cirila            
M;     Dennys
F;       Citlali           
M;     Dénnys
F;       Claire            
M;    Denylson
F;       Clara             
M;      Denys
F;       CLara             
M;      Denzel
F;       Clare             
M;   Deocliciano
F;      Clarice            
M;    Deolindo
F;      Clarina            
M;      Dércio
F;     Clarinha            
M;      Derek
F;     Clarissa            
M;      Derick
F;     Clarisse            
M;      Dérick
F;   Claudemira            
M;    Dérickson
F;      Claudia            
M;      Derik
F;      Claúdia            
M;    Deritson
F;      Cláudia            
M;      Deron
F;    Claudiana            
M;     Derrick
F;     Claudine            
M;    Derycson
F;       Cleia             
M;     Destiny
F;      Cleide             
M;     Deurick
F;    Cleidiane            
M;       Dev
F;     Cleiliana           
M;      Deven
F;   Clementine            
M;      Devin
F;        Cleo             
M;      Devon
F;        Cléo             
M;     Devran
F;     Cleonice            
M;     Deyvan
F;    Cleopatra            
M;     Dhairya
F;    Cleópatra            
M;      Dhakir
F;        Cloe             
M;     Dhanish
F;        Cloé             
M;     Dhanraj
F;        Cloë             
M;    Dharmik
F;     Clotilde            
M;     Dhavid
F;     Codruta             
M;      Dheká
F;    Conceição            
M;     Dhevan
F;     Concha              
M;     Dhevin
F;    Constança            
M;       Dhir
F;    Constânça            
M;     Dhravya
F;    Constance            
M;     Dhrishil
F;   Constância            
M;     Dhrumil
F;   Constantina           
M;     Dhrushil
F;    Constanza            
M;      Dhruv
F;    Contança             
M;     Dhruvil
F;      Cora               
M;      Dhven
F;    Coraima              
M;     Dhyaan
F;   CoraMae               
M;      Dhyan
F;     Corina              
M;      Dhyey
F;     Corine              
M;   Diamantino
F;     Crécia              
M;       Dias
F;   Cremilda              
M;       Dibo
F;    Crisleidy            
